titles,details
Opel Insignia A Innovation Automatik/ACC/Euro6/Bi-Xen,EZ 05/2016 • 150.000 km • 100 kW (136 PS) • Diesel
Skoda Citigo 1.0 MPI Cool Edition,EZ 07/2015 • 151.100 km • 55 kW (75 PS) • Benzin
Mercedes-Benz C -Klasse Lim. C 180 BlueEfficiency Tüv.Neu,Unfallfrei • EZ 11/2011 • 153.000 km • 115 kW (156 PS) • Benzin
Renault Clio GT BOSE.Pano.Leder.Kam.LED.Navi.SHZ.1-Hand,Unfallfrei • EZ 08/2018 • 155.200 km • 81 kW (110 PS) • Diesel
Skoda Fabia Combi Ambition 1. HAND SERVICE & TÜV NEU,Unfallfrei • EZ 04/2018 • 152.243 km • 77 kW (105 PS) • Diesel
"Opel Combo E Cargo1,5 D Selection",Unfallfrei • EZ 01/2020 • 153.500 km • 75 kW (102 PS) • Diesel
Volkswagen Golf VII Variant Trendline BlueMotion,EZ 03/2017 • 188.029 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VI Comfortl.1.4 TSI*KLIMAAUT*SHZ*PDC*ALU,EZ 04/2012 • 155.450 km • 118 kW (160 PS) • Benzin
Volkswagen Beetle Lim. Sport *Klimaanlage*PDC,EZ 01/2013 • 158.900 km • 77 kW (105 PS) • Benzin
BMW 316 Modern Line/12Monte Garantie,Unfallfrei • EZ 05/2013 • 159.000 km • 85 kW (116 PS) • Diesel
"Mercedes-Benz B 180 Sportpaket (AMG) ILS, Night,AHK",Unfallfrei • EZ 11/2012 • 166.500 km • 90 kW (122 PS) • Benzin
Ford Fiesta Titanium *Sitzheizung*,Unfallfrei • EZ 06/2017 • 154.000 km • 74 kW (101 PS) • Benzin
Volkswagen Golf 2.0 TDI Match *NAVI*MFL*KLIMA,Unfallfrei • EZ 05/2013 • 162.866 km • 103 kW (140 PS) • Diesel
Opel Combo E Cargo Selection,EZ 08/2020 • 151.500 km • 75 kW (102 PS) • Diesel
Audi A1 *Aluräder*Navigation*Klimaanlage*Sitzheizung,EZ 08/2015 • 168.158 km • 66 kW (90 PS) • Diesel
Volkswagen Golf VII Variant Comfortl. Klima Massage Xenon,Unfallfrei • EZ 09/2013 • 183.100 km • 90 kW (122 PS) • Benzin
Opel Astra J Sports Tourer Style,Unfallfrei • EZ 07/2015 • 150.000 km • 103 kW (140 PS) • Benzin
"Ford Focus 1,5 TDCi Kombi Aut Navi Klimaaut Temp PDC",EZ 04/2018 • 152.000 km • 88 kW (120 PS) • Diesel
"Volkswagen Tiguan 1,4 TSI Trend & Fun",EZ 11/2011 • 152.900 km • 118 kW (160 PS) • Benzin
BMW X1 sDrive 16d Allwetter Alu SHZ PDC Tempomat,EZ 10/2013 • 162.099 km • 85 kW (116 PS) • Diesel
"Volkswagen Touran Trendline/1,2/7-SITZER/KLIMA/AHK",EZ 06/2014 • 167.000 km • 77 kW (105 PS) • Benzin
Volkswagen Touran Comfortline*AHK*PDC*NAVI*SHZ,EZ 01/2013 • 161.930 km • 77 kW (105 PS) • Benzin
Opel Astra ST 1.4 Turbo Innovation 110kW S/S,EZ 07/2016 • 150.000 km • 110 kW (150 PS) • Benzin
Volkswagen Golf VII Lim. *Highline* BMT,Unfallfrei • EZ 08/2013 • 179.064 km • 90 kW (122 PS) • Benzin
